Sr. no. ,Song Title ,Movie,Year of release,Music director,Song type,Singer type,Singers,Youtube link,Audio Link
201,Gata Rahe Mera dil,Guide,1965,S D Burman,Duet,Male& Female,Kishor Kumar& Lata Mangeshkar,https://www.youtube.com/watch?v=r_okjIlatAw,http://mymp3song.org/filedownload/2809/gaata_rahe_mera_dil
202,Gali gali shor,Aar Par,1985,R D Burman,Solo,Male,Kishor Kumar,https://www.youtube.com/watch?v=eKrnhZgTYI0,http://mymp3song.org/filedownload/12236/gali_gali_shor
203,Galiyon Galiyon,Swami Dada,1982,R D Burman,Duet,Male&Female,Kishor Kumar& Lata Mangeshkar,https://www.youtube.com/watch?v=lgSJBBuWH20,http://mymp3song.org/filedownload/14955/galiyon_galiyon
204,Gana Na Aaya,Miss Mary,1957,Hemant Kumar,Solo,Male,Kishor Kumar,https://www.youtube.com/watch?v=PvlFaKKvRLk,http://mymp3song.org/filedownload/11505/gana_na_aaya
205,Ganga Ghat ka Pani Piya Hai,Ponga Pandit,1975,laxmikant Pyarelal,Solo,Male,Kishor Kumar,https://www.youtube.com/watch?v=v2bqp81-O5Y,http://mymp3song.org/filedownload/40945/ganga_ghat_ka_pani_piya_hai
206,Gao Senorita Geet Pyar Ke,Nikamma,1983,R D Burman,Duet,Male&Female,Kishor Kumar& Asha Bhosale& Mahahmad Rafi,https://www.youtube.com/watch?v=wzoQSfHfuPw,http://mymp3song.org/filedownload/12162/gao_senorita_geet_pyar_ke
207,Gaon Galiyon Fulo Kaliyon,Bezubaan,1982,Ramlaxaman,Duet,Male&Female,Kishor Kumar& Asha Bhosale ,https://www.youtube.com/watch?v=l1DcVtKqngE,http://mymp3song.org/filedownload/40007/gaon_galiyon
208,Gaon Mein Mach Gaya Shor,Dakait,1987,R D Burman,Duet,Male&Female,Kishor Kumar& Asha Bhosale & Suresh Wadkar,https://www.youtube.com/watch?v=BPx3Cy3Itys,http://mymp3song.org/filedownload/20288/gaon_mein_mach_gaya_shor
209,Gayi Kam Se Gayi ye Ladki,Anjane Mein,1978,Kalyanji Aanandji,Solo,Male,Kishor Kumar,https://www.youtube.com/watch?v=GeagzD2eFQ4,http://mymp3song.org/filedownload/12936/gayi_kaam_se_gayi_ye_ladki
210,Ge Ge Geli Zara Timbaktu Kathamandu,Jhomroo,1961,Kishor Kumar,Solo,Male,Kishor Kumar,https://www.youtube.com/watch?v=Qq7Z1ftlAYo,http://mymp3song.org/filedownload/44151/ge_ge_geli_zara_timbaktu_kathmandu
211,Geet Gata Hoon Main,Lal Patthar,1971,Shankar Jaykishan,Solo,Male,Kishor Kumar,https://www.youtube.com/watch?v=Ays7xJK8UF8,http://mymp3song.org/filedownload/38333/geet_gata_hoon_main
212,Ghere Halke Halke Ghere,Duniya ,1984,R D Burman,Duet,Male&Female,Kishor Kumar& Lata Mangeshkar,https://www.youtube.com/watch?v=aWCh09Lb2N0,http://mymp3song.org/filedownload/20302/gehre_halke_halke_gehre
213,Gham Ka Phasana,Manchali,1973,laxmikant Pyarelal,Duet,Male&Female,Kishor Kumar &Leena Chandavarkar,https://www.youtube.com/watch?v=VzYy290I3No,http://mymp3song.org/filedownload/10603/gham_ka_fasana
214,Gharse Chali Thi Main,Ghazab,1982,laxmikant Pyarelal,Duet,Male&Female,Kishor Kumar& Lata Mangeshkar,https://www.youtube.com/watch?v=qn60uJt6ecA,http://mymp3song.org/filedownload/18061/ghar_se_chali_thi_main
215,Ghungaroo ki Tarah Bajata Hi Raha ,Chor Machaye Shor,1974,Ravindra Jain,Solo,Male,Kishor Kumar,https://www.youtube.com/watch?v=SRY4oEWaYsk,http://mymp3song.org/filedownload/3332/ghunghroo_ki_tarah_bajta_hi_raha
216,Gir Gaya Zumka Girne Do,Jugnu,1973,S D Burman,Duet,Male&Female,Kishor Kumar& Lata Mangeshkar,https://www.youtube.com/watch?v=aW2qKjPb5ik,http://mymp3song.org/filedownload/10362/gir_gaya_jhumka_girne_do
217,Gokul Ki Galiyonka Gwala,Raste Pyar Ke,1982,laxmikant Pyarelal,Duet,Male&Female,Kishor Kumar& Asha Bhosale & Usha Mangeshkar,https://www.youtube.com/watch?v=toJiC53PGiE,http://mymp3song.org/filedownload/12803/gokul_ki_galiyon_ka_gwala
218,Goli Andar Dam Bahar,Pyar Mohabbat,1988,laxmikant Pyarelal,Duet,Male,Kishor Kumar&Laxmikant&Mahamad Ali Mahamood,https://www.youtube.com/watch?v=_-YBQ5s_RNU,http://mymp3song.org/filedownload/41165/goli_andar_dam_bahar
219,Goom Hai Kisike Pyar mein,Rampur Ka Lakshman,1972,R D Burman,Duet,Male&Female,Kishor Kumar& Lata Mangeshkar,https://www.youtube.com/watch?v=sPiOMuvzSI8,http://mymp3song.org/filedownload/12983/goom_hai_kisi_ke_pyar_mein
220,Hum The Who Thi,Chalti Ka Naam Gaadi ,1958,S D Burman,Solo,Male,Kishor Kumar,https://www.youtube.com/watch?v=k7S79fOgikc,http://mymp3song.org/filedownload/184/hum_the_woh_thi
221,Gore Rang Pe Na Itana,Roti,1974,laxmikant Pyarelal,Duet,Male&Female,Kishor Kumar& Lata Mangeshkar,https://www.youtube.com/watch?v=3Iz6imkVUTc,http://mymp3song.org/filedownload/46585/gore_rang_pe_na_itna
222,Gori Gori Gaon Ki Gori Re,Ye Gulistan Hamara,1972,S D Burman,Duet,Male&Female,Kishor Kumar& Lata Mangeshkar,https://www.youtube.com/watch?v=J27QkCAc4FU,http://mymp3song.org/filedownload/43885/gori_gori_gaon_ki_gori_re
223,Gori Ho Kali Ho,Biwi O Biwi,1981,R D Burman,Solo,Male,Kishor Kumar,https://www.youtube.com/watch?v=kk65DaSlvCQ,http://mymp3song.org/filedownload/5243/gori_ho_kali_ho
224,Gori Tere Ang Ang Mein,Tohafa,1984,Bappi Lahiri,Duet,Male&Female,Kishor Kumar& Asha Bhosale ,https://www.youtube.com/watch?v=C4pSK-8CW5M,http://mymp3song.org/filedownload/13736/gori_tere_ang_ang_main
225,Gori Teri Javani Pe,Kalakar,1983,Kalyanji Aanandji,Solo,Male,Kishor Kumar,https://www.youtube.com/watch?v=7FS9HV8IxnU,http://mymp3song.org/filedownload/11694/gori_teri_jawani_pe
226,Goriya Hamen Jeena Teri Gali Mein,Pyara Dushman,1980,Bappi Lahiri,Duet,Male&Female,Kishor Kumar& Asha Bhosale ,https://www.youtube.com/watch?v=uzoXtxUiobw,http://mymp3song.org/filedownload/40953/goriya_hamen_jeena_teri_gali_mein
